cliente_id,nombre,apellido,email,telefono,ciudad,pais,segmento,fecha_registro,fecha_consentimiento,activo,data_owner,clasificacion_dato
CLI-00001,ac5bd77e52918764fab88e5ff22ceec5045ab98fab94cfbb7e253499f0db3ff9,01cb5c9a4afa48fb74a0eca872b6085c00916eca09a7f35b23163d434da48280,08d82f2f41d66c44628c45a7dafc068c9764315ae36dbec51fd8c5c51766bf12,+57***5301,Icononzo,Colombia,B2C,2024-10-16,2024-10-16,False,marketing@retailtech.co,confidencial
CLI-00002,173b7b3ee01aafddf73b807206f36da68bfac1b2e8a4dc64cb1f117b28490bb7,251f3fa6636c0fa518e70116014bf75d5f569aa4c554653c52624af801cd8a1e,4ef825f01b4eb3ef2ca68b18164b6d437211bda8324a23e269f9975d1f49f8a7,+57********4819,Tesalia,Colombia,B2C,2024-08-27,2024-08-30,True,crm@retailtech.co,confidencial
CLI-00004,aec70b6af7d213ba80c2297dfb51df4700d03d33e5846f3aa44f13142980e77f,e085242b07f80b64db4b483e6a19c89d5ecd3bb85ac6c5c847b7ed11f8a4e710,aa29895b17c55888bf6fa41aa083126dc174dd9e6cb58efb4c2672878e93ee95,+57***4257,Valdivia,Colombia,B2C,2023-08-09,2023-08-11,True,crm@retailtech.co,confidencial
CLI-00005,49547872a664dd8e63283cdd747e9682229880a9111aaaa9a397c0458bbb0ae6,43762f7506b7249e54aaec56c5429982b7401dc6716ed08898cab1a067d0bcaa,c100f4f410149a12caf0ab65b8d18be90986a112bd1726601bb3e267055f6fd1,+57******3780,Quípama,Colombia,Inactivo,2024-07-03,2024-07-03,False,marketing@retailtech.co,confidencial
CLI-00006,0fd942363abc7027057489951d3c0ec988e3d8013179ab41854823254f045cb4,2d8c482556cd678a4e51716aff955e9adc3e62c009fbad163c78d485a28b93ae,34c098c27843f7c24697179bd89d347fded4ac7d3c5f55078bc9f5409d9e9cbf,N/A,Tarso,Colombia,B2C,2024-12-22,2024-12-22,True,crm@retailtech.co,confidencial
CLI-00007,d0784c6b1785dcd474688d46b1fe99792ff66f6b56bebf26dda0c08516bac22e,9a34281fa15c07e97824cdea64cf3f1d188eef281b3c07a954cb7a04f16f389f,b478fa131f9c8a732305bfb06d4a0ec4f3e3e748acaca71e2437c00effd0e0fb,+57******2109,Coello,Colombia,Premium,2024-04-09,2024-04-14,True,marketing@retailtech.co,confidencial
CLI-00008,3e24cd373cb6230b0ff55205593c69f8260d5cbe3d09a57fb92be9d7cb72b5e7,c8b913e50316b7a38ca17219f3df4059521764508bfc118e870e9137fa18cc38,12a837a4e68bc8a78e2fd02455b7078533579eb28abb5e8ed2bf6af62255c869,+52***3960,Onzaga,México,B2C,2024-09-15,2024-09-20,True,marketing@retailtech.co,confidencial
CLI-00009,f3c2ce176290b0c384cb4881eb714f2db58f630c33863d91c9bedf58d36007db,55b83fc7de329edefe20844f5dde5413b5ed0876a8adfdbcf931ce12645becb4,68aa4dd1d2c07d3533819b717a9930e15989bd1ed96cca261f1942cd8249169e,N/A,Guachetá,Chile,Premium,2024-12-02,2024-12-04,True,marketing@retailtech.co,confidencial
CLI-00010,877400dccdd18db5b4abc0ac761b4d647259d8e06bace1cc908c80eaa9d4969d,7f87cf731ba24d82a736e7d79d6453d181501af8025ac705c136c614c362a4b1,0aa9648223165471a56bb221287a7f22414034b5f71f1fbbff8058a3dd8fb713,+52********5462,María la Baja,México,B2C,2024-08-03,2024-08-08,True,marketing@retailtech.co,confidencial
CLI-00011,d0784c6b1785dcd474688d46b1fe99792ff66f6b56bebf26dda0c08516bac22e,4da9ef6966470329f41a4e5a9cbf43ecf5f25c6c0d020e5e9603640d04b4f990,071afc09c0a33e9dd73500bdbe40615b60c9709cffc546067bec76bfc251d81d,+57******1965,Rovira,Colombia,B2C,2024-07-28,2024-08-01,False,crm@retailtech.co,confidencial
